year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c51ek116351,ca,4.5,1331,gray,black,"""financial services remarketing (lease)""",31900,30000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c57ed129731,ca,4.3,2641,gray,black,"""financial services remarketing (lease)""",66000,67000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed593089,ca,3.4,14943,black,black,"""the hertz corporation""",69000,65000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169260,ca,3.4,8819,black,black,"""the hertz corporation""",68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,BMW,5 Series,528i,Sedan,automatic,wba5a5c51ed501631,ca,2.9,25969,black,black,"""financial services remarketing (lease)""",34200,30000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c57ed169262,ca,3.8,10736,black,black,"""the hertz corporation""",67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2014,BMW,X5,sDrive35i,SUV,automatic,5uxkr2c52e0h33130,ca,,11278,gray,black,"""avis rac/san leandro""",50400,34000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c50ek108497,ca,5,111,black,—,"""financial services remarketing (lease)""",32200,30500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c56ed593069,ca,3.8,16360,black,black,"""the hertz corporation""",65000,64250,Tue Jan 13 2015 04:30:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c58ek106688,ca,4.5,9027,white,black,"""financial services remarketing (lease)""",30200,27500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c50ed169281,ca,3.2,13205,white,black,"""the hertz corporation""",66000,65000,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2014,BMW,X6,xDrive35i,SUV,automatic,5uxfg2c53e0h11080,ca,4,379,white,black,"""financial services remarketing (lease)""",54800,51700,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c51ed129563,ca,4.2,7305,white,black,"""the hertz corporation""",65000,66100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed097712,ca,4.7,7766,gray,black,"""fratelli investment group""",71000,77250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c55ed169261,ca,4,8037,black,black,"""the hertz corporation""",67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2014,BMW,X1,sDrive28i,SUV,automatic,wbavm1c53evw47779,ca,4.8,19689,white,black,"""financial services remarketing (lease)""",23700,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,,750Li,Sedan,automatic,wbaye8c59ed134514,ca,4.3,12172,black,black,"""financial services remarketing (lease)""",67000,66000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Coupe,automatic,wbaym9c53ed248064,ca,4,9837,black,—,"""financial services remarketing (lease)""",62000,61500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c53ed128866,ca,2.9,37752,white,black,"""financial services remarketing (lease)""",62000,58000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c54ed593085,ca,3.8,13386,white,black,"""the hertz corporation""",67000,65000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c55ed593080,ca,4.1,15161,white,black,"""the hertz corporation""",66000,65801,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,BMW,4 Series,428i SULEV,Coupe,automatic,wba3n7c55ef719079,ca,3.7,18152,white,black,"""street smartz auto sales corporation""",31000,39750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169288,ca,3.7,8891,silver,black,"""the hertz corporation""",68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c5xed169286,ca,3.8,19499,silver,—,"""the hertz corporation""",63000,62000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2014,BMW,5 Series,535d,Sedan,automatic,wbaxa5c52ed689665,ca,4.8,12292,white,black,"""financial services remarketing (lease)""",46300,46500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c59ed169280,ca,3.7,15727,white,black,"""the hertz corporation""",66000,65000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,X5,xDrive35i,SUV,automatic,5uxkr0c54e0k49204,ca,5,4503,white,black,"""financial services remarketing (lease)""",57500,57250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750i,xdr 750i xdriv,,automatic,wbakc6c5xcc395623,ca,4,50790,gray,black,"""financial services remarketing (lease)""",33900,33500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl71530,ca,3.8,28925,white,black,"""financial services remarketing (lease)""",48500,50500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,,wbalz3c59cdl71275,ca,4.6,16381,gray,black,"""financial services remarketing (lease)""",48200,46500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c59cdv77170,ca,4.7,34941,black,black,"""financial services remarketing (lease)""",42600,42500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdx02704,ca,4.7,45443,black,gray,"""financial services remarketing (lease)""",29500,30500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl73048,ca,4.8,20904,gray,black,"""financial services remarketing (lease)""",50100,49000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c55cdx04560,ca,5,54744,black,black,"""financial services remarketing (lease)""",27600,29250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c52cc528799,ca,3.6,24452,white,brown,"""l m auto wholesale""",44800,44000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c54cc613856,ca,4.7,17189,black,—,"""financial services remarketing (lease)""",40100,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
